41	2	65	1.369142	-1.587258	7.017575	6.454237	5.328835
41	2	35	7.478721	0.385045	6.659842	6.443240	2.864441
42	2	72	2.391799	0.790232	5.201094	4.259960	6.930498
42	2	28	0.639611	2.648179	1.308373	0.052489	7.885556
43	1	100	-3.822960	3.567989	0.260089	1.476445	5.391503
44	1	100	1.227542	3.399018	-1.100473	2.720370	4.402481
45	1	100	7.611396	-3.363127	8.021224	8.433829	-1.440300
46	1	100	3.200451	4.235643	3.861403	-0.557059	5.085345
47	1	100	-0.928633	1.841078	3.451539	-1.792911	7.831024
48	3	97	-0.500680	-11.557500	6.278408	7.113179	8.116353
48	3	2	5.550649	-0.949219	6.277333	4.102253	1.846106
48	3	1	5.550791	-5.180453	6.278408	7.111400	1.846106
49	1	100	0.440351	-8.288985	7.692699	7.089545	6.530514
50	1	100	2.196172	-7.027988	9.449713	5.698352	7.127151
51	1	100	0.487221	-3.606064	2.117343	6.221899	5.964575
52	1	100	4.071086	5.508233	5.579125	-0.340768	2.357807
53	1	100	7.439598	-5.730349	9.344880	6.178201	-0.347350
54	2	92	2.945172	-3.700325	6.635055	6.752988	6.666195
54	2	8	5.040221	-3.581288	6.627085	6.752930	3.962481
55	1	100	9.799850	-3.155647	8.193538	5.472260	0.524118
56	3	11	-0.093168	4.931351	3.407825	0.994263	4.742594
56	3	52	5.802026	-1.215024	7.965201	7.252365	1.647999
56	3	37	4.582898	2.199391	7.079076	1.363726	2.505912
57	1	100	0.488688	2.800892	0.801217	3.218370	8.363258
58	1	100	-4.675151	1.528973	5.306084	5.275970	5.767011
59	2	61	-0.106998	-11.839633	8.313300	6.599213	6.321187
59	2	39	6.118193	-7.754790	8.313300	6.599213	1.319735
60	1	100	-1.310760	3.770883	1.163333	1.582696	6.632095
61	1	100	6.737909	0.687330	4.759151	4.770944	-1.169492
62	1	100	0.333834	-10.148344	6.743520	7.228629	8.522338
63	2	51	1.104449	-1.379946	7.934706	6.363026	6.643804
63	2	49	-0.331196	2.353238	2.042112	6.335112	6.919977
64	2	86	2.593304	-3.721920	8.148262	6.926391	4.913922
64	2	14	-0.983715	4.896502	4.250967	1.998439	4.955679
