158	4	21	8.864942	-2.226338	9.037382	5.942675
158	4	8	3.039005	6.033764	3.710068	0.161990
158	4	4	3.039005	6.033764	-1.982777	0.161990
159	2	34	1.884780	5.261769	-3.824666	-0.211569
159	2	66	8.311657	-0.777645	6.628572	5.805549
160	1	100	8.445664	0.127610	6.545442	6.261824
161	3	70	3.395994	6.762496	-5.752849	1.474009
161	3	21	7.660189	-0.169087	0.775563	6.418683
161	3	9	7.660189	-0.169087	6.714541	6.418683
162	2	82	8.631052	-10.495516	-1.027118	4.904331
162	2	18	8.631052	-10.495516	5.369273	4.904331
163	3	90	6.419866	-3.648444	7.776053	6.856357
163	3	8	0.453978	5.066254	4.674338	2.597655
163	3	2	0.453978	5.066254	0.087563	2.597655
164	2	32	6.324130	1.920566	6.886844	8.371190
164	2	68	1.128833	7.735303	-1.703784	4.565265
165	3	88	8.446884	-0.466772	5.563755	6.423128
165	3	7	3.563389	5.871304	1.529923	1.553189
165	3	5	3.563389	5.871304	-3.197314	1.553189
166	2	86	1.539079	5.566137	-4.059347	1.306296
166	2	14	4.171382	1.909304	6.182505	6.861053
167	1	100	-0.530533	6.435479	-2.812258	-0.618229
168	2	90	7.130067	-6.740586	5.337119	5.363549
168	2	10	1.239924	5.208498	4.113206	0.412218
169	1	100	9.802541	-6.403388	7.453398	6.493988
170	1	100	4.406480	5.676243	-3.830037	-0.069107
171	5	60	0.831359	5.145472	-4.119507	3.491528
171	5	7	6.666685	-2.376892	2.235756	6.790484
171	5	24	2.543000	1.642342	2.233580	6.680538
171	5	5	2.543000	1.642342	7.747813	6.680538
171	5	4	6.666685	-2.376892	7.749816	6.790484
172	1	100	6.107972	-0.596762	7.232035	8.486536
173	2	95	3.639170	-1.681184	6.751283	6.438909
173	2	5	0.236527	4.441570	-0.566531	1.816710
174	2	39	2.441083	6.713787	-2.602830	0.146894
174	2	61	7.487941	-2.669980	7.607337	6.202472
175	1	100	-0.377219	7.298431	-3.991195	0.505242
176	1	100	0.341184	8.145044	-5.230500	0.719767
177	2	52	-0.810401	5.829374	3.394520	1.227302
177	2	48	-0.810401	5.829374	-2.699902	1.227302
178	2	81	6.425807	1.437261	8.516536	2.994341
178	2	19	1.069514	4.877415	2.819141	-2.521033
179	2	87	6.766323	-0.974518	6.758016	9.209335
179	2	13	4.531844	5.995832	-4.626637	4.904142
180	1	100	6.671619	0.240983	5.429064	5.972208
181	1	100	7.250299	-2.304371	7.923834	7.400881
182	2	26	6.066602	-0.964580	5.396020	4.619035
182	2	74	6.066602	-0.964580	-0.874047	4.619035
183	1	100	6.216259	-5.533342	8.150416	8.745065
184	1	100	8.617153	-5.353482	7.110505	5.978151
185	2	53	5.902971	-3.286169	6.320447	7.078039
185	2	47	-0.211250	6.610546	-4.422357	1.442967
186	2	76	-1.201011	8.050528	-4.211393	2.354200
186	2	24	4.532368	2.082822	7.029488	7.924167
187	1	100	5.171109	-1.994978	5.515893	8.013402
188	1	100	3.144003	7.061581	-7.348573	1.990968
189	3	90	7.113451	-4.306535	7.260366	7.246094
189	3	6	0.522916	5.700088	2.826292	1.571251
189	3	4	0.522916	5.700088	-2.237173	1.571252
190	1	100	3.288349	3.777631	0.221376	2.974832
191	2	63	-0.045751	7.702714	-5.769971	2.442362
191	2	37	6.229077	0.840638	6.323698	8.094671
192	1	100	1.027510	-3.199236	5.577815	6.588123
193	2	91	7.283225	-4.136976	5.905778	8.876050
193	2	9	1.088134	7.662788	-1.459539	3.410373
194	1	100	3.424629	6.370283	-3.140515	0.201191
195	1	100	-0.032006	5.279253	-2.828972	1.741689
196	1	100	8.992736	-2.014158	-3.944429	6.254515
197	1	100	6.826586	0.127551	6.599085	5.208285
198	1	100	2.041880	6.934644	-5.119211	-2.052711
199	1	100	1.040566	5.825882	-5.703860	2.462124
200	2	65	8.365052	-4.593272	8.599399	7.125283
200	2	35	2.466549	6.442794	-1.569691	2.045623
201	2	75	6.399993	2.817565	-3.086532	3.894971
201	2	25	2.369480	6.920013	-4.159323	-1.232426
202	1	100	-2.724952	4.954006	-4.866099	2.481630
203	2	58	7.657765	-7.086365	1.938444	8.071313
203	2	42	7.657765	-7.086365	5.978893	8.071313
204	2	58	2.603723	4.170146	-4.292724	5.404739
204	2	42	8.459838	-1.634081	-1.542741	7.498851
205	2	84	0.090245	6.941782	6.147530	1.291626
205	2	16	5.830799	-2.019144	6.994226	7.771928
206	1	100	-3.611733	5.139897	-6.103978	0.025426
207	2	76	3.045730	6.726131	-2.569272	-0.411474
207	2	24	6.272716	1.507909	7.025356	5.466071
208	3	85	0.564253	6.129425	-3.453179	0.221347
208	3	5	6.767656	1.135152	7.326112	3.183901
208	3	10	6.767656	1.135152	1.507777	3.183901
