5578	4	1.003581	3.354472	5.589914	-1.140367	2.140057	-4.652137	3.546054	5.639430	-1.146319	6.966802	6.120511	-7.426411	-0.032762	5.336418	0.386558	-0.060046	-1.806142	2.416846	5.328757	6.421182
5690	4	-1.476548	4.158372	7.675550	2.368821	6.918815	6.298319	-3.115012	1.958693	7.161449	1.808432	5.057112	2.001610	7.617572	3.239776	1.819002	0.875850	-0.390172	3.321344	7.105550	6.918637
6452	4	7.308757	-3.051317	2.011679	4.919966	0.167511	3.686919	2.031955	6.989066	-1.531439	4.045946	6.948103	-0.633399	5.615347	1.906445	0.274451	1.261321	3.124077	7.036346	-1.531682	5.915885
6515	4	-3.386779	3.170569	6.406588	2.597181	5.458786	0.540658	-0.358497	1.919789	7.438590	5.458777	7.521791	-6.616141	0.738200	7.464560	-1.069288	2.945106	-5.327668	0.738202	7.464560	5.271703
6691	4	5.930486	-3.016078	2.443961	6.386744	1.659365	-2.461605	6.813303	5.777277	0.232101	6.951238	2.439574	-3.015992	2.443960	6.386744	6.563029	-2.196343	1.860631	5.407802	2.672280	6.951238
6726	4	7.106315	-0.009002	4.898705	0.989696	0.862399	0.793310	0.011042	4.925698	0.971801	6.590237	0.926932	-5.095612	0.487742	6.437263	6.581097	7.238453	-5.148264	0.485221	6.445449	0.798536
6734	4	1.048067	7.885163	1.742746	0.654510	1.316532	6.349522	1.387947	0.678879	0.752343	-0.114212	7.252607	-4.520269	-4.801195	6.633850	-0.114212	-2.852698	7.938782	1.742746	0.654510	5.674328
7014	4	-2.721370	5.653894	6.534487	-1.265008	5.794555	2.743629	1.398733	5.277909	-0.435448	5.765516	6.169058	1.019323	4.701541	0.163842	-0.057672	6.551361	-3.608341	3.267110	5.171987	-0.078117
8317	4	-4.620059	7.031420	1.941838	1.330221	5.883877	1.547610	-1.964084	-4.175997	6.746180	5.594877	7.964014	-2.011689	-4.176015	6.746182	0.446420	4.651431	1.853532	0.636062	1.867653	0.813402
9155	4	3.567930	-3.403852	5.031510	5.903973	5.471784	-2.785660	3.721381	7.211200	2.707708	6.039206	7.422608	-3.816996	5.031510	5.903973	0.118258	-1.765264	0.441811	5.045365	5.898402	6.039206
9638	4	-1.580895	0.916208	5.343386	7.357941	7.311736	2.132899	2.949579	8.205896	3.907264	0.784193	-3.646522	2.961237	8.206239	3.899778	7.347750	4.576473	-2.595144	2.059377	7.684027	0.783157
